time,open,high,low,close,Volume
2022-05-09,1353.7,1355.8,1300,1308.1,328581
2022-05-10,1299.8,1340.9,1291.1,1335,361688
2022-05-11,1335,1349,1318.2,1337,297741
2022-05-12,1334,1334,1262,1270,346875
2022-05-13,1272,1288.1,1214.7,1225,438129
2022-05-16,1240,1261.9,1212,1212,354554
2022-05-17,1220,1283,1204.3,1280.9,364556
2022-05-18,1280.9,1304.8,1265.3,1281,411644
2022-05-19,1255,1292.9,1251.7,1283,309742
2022-05-20,1283,1299.2,1259.8,1276.8,317137
2022-05-23,1289,1289,1238.1,1253.1,324795
2022-05-24,1253,1271.1,1234,1267,389720
2022-05-25,1275,1306,1268.5,1299.3,318793
2022-05-26,1302,1310.5,1292.1,1300.9,279405
2022-05-27,1306.1,1328.8,1305.1,1322.5,255713
2022-05-30,1329.7,1331,1319.6,1325.6,204143
2022-05-31,1326.2,1326.8,1310.5,1320.5,225070
2022-06-01,1318.5,1337.5,1316,1326,326533
2022-06-02,1311,1330,1311,1315,253099
2022-06-03,1318,1323.9,1305.6,1318.5,233565
2022-06-06,1320.7,1332,1315,1315,224785
2022-06-07,1315,1315.5,1293.3,1315,278664
2022-06-08,1321,1342,1319.8,1333,267430
2022-06-09,1332.4,1339,1327,1335.3,264559
2022-06-10,1328,1333.8,1311.1,1311.1,232693
2022-06-13,1284,1289.9,1257.4,1260.2,332829
2022-06-14,1254.8,1272.5,1250,1268.3,353777
2022-06-15,1268,1270.5,1235.3,1251.3,357051
2022-06-16,1261,1286.5,1260.7,1286,284892
2022-06-17,1247.5,1249,1215.2,1245.2,455234
2022-06-20,1244.8,1249.4,1212,1212,405214
2022-06-21,1216.8,1240,1210.5,1228,504864
2022-06-22,1233.7,1240.9,1216,1216,404908
2022-06-23,1222,1230.3,1216.3,1227.8,337136
2022-06-24,1236,1237.9,1226,1227,244016
2022-06-27,1236,1247.9,1234,1247.9,219072
2022-06-28,1246,1266.5,1242.7,1261,259004
2022-06-29,1255,1262.9,1251.1,1260.5,290695
2022-06-30,1262,1264.8,1240.1,1240.1,256951
2022-07-01,1241,1243.5,1221.5,1242,332852
2022-07-04,1247,1252.1,1238.1,1242,245644
2022-07-05,1248.3,1251.9,1234,1234.9,332002
2022-07-06,1234.8,1234.8,1213.4,1218,399286
2022-07-07,1215.7,1226.2,1213,1225,319536
2022-07-08,1230.5,1231.8,1223.5,1225,210770
2022-07-11,1221,1221.8,1197.1,1200.7,228673
2022-07-12,1202,1216,1201.9,1213.5,224734
2022-07-13,1215,1220.1,1209.5,1210,251969
2022-07-14,1206.8,1217.9,1204.4,1215.7,242699
2022-07-15,1219,1221.8,1209.2,1210.1,220851
2022-07-18,1218.2,1221,1212.2,1215.4,179182
2022-07-19,1213.9,1216.4,1208.1,1213,196947
2022-07-20,1223.5,1230.8,1221.4,1226.1,189723
2022-07-21,1225.3,1242,1225.2,1234.1,203851
2022-07-22,1230.5,1234,1223.3,1225.6,206418
2022-07-25,1221.9,1224.7,1217.2,1221.9,187113
2022-07-26,1222.1,1225.5,1217.3,1218.9,154394
2022-07-27,1216,1223,1213,1223,163202
2022-07-28,1228.8,1237.3,1228.3,1231.6,164382
2022-07-29,1236.8,1236.9,1229.1,1230.7,167089
2022-08-01,1232.1,1246,1231,1244.4,201273
2022-08-02,1244.7,1249.4,1238.3,1245.9,185715
2022-08-03,1245.4,1252.9,1242,1250,220995
2022-08-04,1256,1260,1252.2,1257.5,194731
2022-08-05,1259,1264.5,1254.7,1264.5,177460
2022-08-08,1263.5,1267.8,1261.3,1266,136604
2022-08-09,1264.5,1275.8,1264.1,1272.7,195809
2022-08-10,1271,1273.8,1268.6,1270.6,139226
2022-08-11,1282.7,1288,1268,1268,201773
2022-08-12,1268,1280.1,1266.2,1280.1,169296
2022-08-15,1285.2,1294.5,1284.7,1293,183149
2022-08-16,1296.7,1297.5,1291.4,1296.9,181175
2022-08-17,1299.8,1311.2,1298.5,1309,186828
2022-08-18,1306.9,1312.9,1304.6,1304.8,161249
2022-08-19,1292.1,1292.1,1276.1,1281,191773
2022-08-22,1275,1278.9,1270.3,1271,182989
2022-08-23,1265.7,1283.1,1264.4,1283.1,186697
2022-08-24,1282,1287.8,1278.4,1285.2,189828
2022-08-25,1287,1304.3,1286.9,1303,186414
2022-08-26,1305.2,1305.9,1290,1293,216003
2022-08-29,1270.9,1286,1264.7,1286,236496
2022-08-30,1288.7,1295.7,1280.3,1287,248903
2022-08-31,1282,1298.5,1277.6,1293.9,260355
2022-09-05,1294,1298.5,1282.5,1286,237070
2022-09-06,1287.5,1295.9,1286.6,1290,230645
2022-09-07,1283,1286.8,1265,1265,251300
2022-09-08,1269.5,1275.6,1263.4,1264.1,297182
2022-09-09,1269,1275,1259.2,1275,251090
2022-09-12,1281,1283.2,1275.1,1276.8,153315
2022-09-13,1278.3,1278.8,1272,1272,147214
2022-09-14,1252,1262,1248,1259,194063
2022-09-15,1261,1263.5,1256.6,1262.2,147137
2022-09-16,1254.1,1254.3,1233.2,1237,175111
2022-09-19,1239,1239,1218,1223.5,263820
2022-09-20,1228,1235.4,1221.6,1232.7,228800
2022-09-21,1228,1229,1213.5,1219.6,297328
2022-09-22,1208,1225,1203.7,1225,266297
2022-09-23,1221.9,1223,1204,1210,281222
2022-09-26,1199,1199,1173.6,1192,312371
2022-09-27,1190.7,1196.3,1183,1185,300289
2022-09-28,1173.5,1178,1160.9,1165,349877
2022-09-29,1176.9,1176.9,1148,1148,271924
2022-09-30,1143.9,1164.7,1136.4,1150,340512
2022-10-03,1145,1147,1096.8,1102.6,380554
2022-10-04,1113.5,1125,1093.9,1102,412460
2022-10-05,1114,1134.4,1113.3,1115.2,371725
2022-10-06,1118.5,1119.4,1080,1080,415369
2022-10-07,1065,1072,1025,1032.2,446339
2022-10-10,1010.1,1050,1006.1,1032.5,424593
2022-10-11,1024,1027.6,979.7,989,434143
2022-10-12,996.7,1038.9,995,1025.1,419387
2022-10-13,1027.5,1039.6,1004.6,1039.6,499633
2022-10-14,1060,1067,1043.7,1048,300190
2022-10-17,1036,1050,1017.4,1050,308351
